id,choice_text,question_id,set_id,question_type
184,Simple Harmonic Motion,7,1,P
185,Rotational Speed,7,1,P
186,Angular Acceleration,7,1,P
187,Displacement,7,1,P
188,Frequency,7,1,P
189,Work,8,1,P
190,Charge,8,1,P
191,Electrostatics,8,1,P
192,Electric Potential Energy,8,1,P
193,Electric Field,8,1,P
194,Electrodynamics,8,1,P
195,Force,8,1,P
196,Mass,8,1,P
197,Electric Charge,8,1,P
198,Electrostatics,8,1,P
199,Gauss's Law,8,1,P
200,Potential Energy,8,1,P
201,Faraday's Law,8,1,P
202,Voltmeter,8,1,P
203,Coulomb's Law,9,1,P
204,Electric Charge,9,1,P
205,Electric Dipole Moment,9,1,P
206,Electric Field,9,1,P
207,Electric Flux,9,1,P
208,Potential Energy,9,1,P
209,Electrostatic Discharge,9,1,P
210,Gauss's Law,9,1,P
211,Induction,9,1,P
212,Insulator,9,1,P
213,Polarization Density,9,1,P
214,Electrodynamics,9,1,P
215,Lenz's Law,9,1,P
216,Displacement Current,9,1,P
217,Magnetic Vector Potential,9,1,P
218,Electromagnetic Field,9,1,P
219,Eddy Current,9,1,P
220,Acceleration,10,1,P
221,Force,10,1,P
222,Mass,10,1,P
223,Space,10,1,P
224,Friction,10,1,P
225,Relative Velocity,10,1,P
226,Frequency,10,1,P
227,Velocity,10,1,P
228,Theory Of Relativity,10,1,P
229,Gravito-electromagnetism,10,1,P
230,Kepler Problem,10,1,P
231,Redshift,10,1,P
232,Blueshift,10,1,P
233,Time Dilation,10,1,P
234,Gravitational Potential,10,1,P
235,Event Horizon,10,1,P
236,Gravitational Singularity,10,1,P
237,Black Hole,10,1,P
238,Ampere's Law,11,1,P
239,Biot-savart Law,11,1,P
240,Electromagnetic Induction,11,1,P
241,Faraday's Law,11,1,P
242,Displacement Current,11,1,P
243,Electromagnetic Field,11,1,P
244,Alternating Current,11,1,P
245,Electric Current,11,1,P
246,Electric Potential,11,1,P
247,Resistance,11,1,P
248,Voltage,11,1,P
249,Acceleration,12,1,P
250,Angular Momentum,12,1,P
251,Couple,12,1,P
252,D'alembert's Principle,12,1,P
253,Energy,12,1,P
254,Impulse,12,1,P
255,Moment Of Inertia,12,1,P
256,Mass,12,1,P
257,Mechanical Power,12,1,P
258,Time,12,1,P
259,Torque,12,1,P
260,Velocity,12,1,P
261,Damping,12,1,P
262,Displacement,12,1,P
263,Equations Of Motion,12,1,P
264,Motion,12,1,P
265,Euler's Equations,12,1,P
266,Simple Harmonic Motion,12,1,P
267,Electrostatics,13,1,P
268,Coulomb's Law,13,1,P
269,Electric Charge,13,1,P
270,Electric Flux,13,1,P
271,Potential Energy,13,1,P
272,Magnetization,13,1,P
273,Magnetomotive Force,13,1,P
274,Alternating Current,13,1,P
275,Capacitance,13,1,P
276,Direct Current,13,1,P
277,Electric Current,13,1,P
278,Electric Potential,13,1,P
279,Electromotive Force,13,1,P
280,Impedance,13,1,P
281,Inductance,13,1,P
282,Acceleration,14,1,P
283,Angular Momentum,14,1,P
284,Force,14,1,P
285,Impulse,14,1,P
286,Moment Of Inertia,14,1,P
287,Mass,14,1,P
288,Momentum,14,1,P
289,Time,14,1,P
290,Torque,14,1,P
291,Velocity,14,1,P
292,Displacement,14,1,P
293,Friction,14,1,P
294,Relative Velocity,14,1,P
295,Acceleration,15,1,P
296,Energy,15,1,P
297,Impulse,15,1,P
298,Moment Of Inertia,15,1,P
299,Mechanical Work,15,1,P
300,Momentum,15,1,P
301,Speed,15,1,P
302,Angular Acceleration,15,1,P
303,Displacement,15,1,P
304,Frequency,15,1,P
305,Velocity,15,1,P
306,Acceleration,1,2,P
307,Newton's Second Law Of Motion,1,2,P
308,Angular Acceleration,1,2,P
309,Torque,1,2,P
310,Moment Of Inertia,1,2,P
311,Couple,1,2,P
312,Center Of Mass,1,2,P
313,Resistance,2,2,P
314,Voltage,2,2,P
315,Torque,2,2,P
316,Force,2,2,P
317,Power,2,2,P
318,Inertia,2,2,P
319,Electric Current,2,2,P
320,Newton's Laws Of Motion,3,2,P
321,Damping,3,2,P
322,Displacement,3,2,P
323,Fictitious Force,3,2,P
324,Friction,3,2,P
325,Newton's Law Of Universal Gravitation,3,2,P
326,Relative Velocity,3,2,P
327,Angular Acceleration,3,2,P
328,Displacement,3,2,P
329,Frequency,3,2,P
330,Electrostatics,4,2,P
331,Coulomb's Law,4,2,P
332,Electric Charge,4,2,P
333,Electric Field,4,2,P
334,Electric Flux,4,2,P
335,Potential Energy,4,2,P
336,Electrostatic Discharge,4,2,P
337,Induction,4,2,P
338,Insulator,4,2,P
339,Electric Current,4,2,P
340,Inductance,4,2,P
341,Ohm's Law,4,2,P
342,Resistance,4,2,P
343,Electric Field,5,2,P
344,Electric Flux,5,2,P
345,Potential Energy,5,2,P
346,Gauss's Law,5,2,P
347,Magnetic Dipole Moment,5,2,P
348,Magnetic Scalar Potential,5,2,P
349,Magnetization,5,2,P
350,Magnetomotive Force,5,2,P
351,Electrodynamics,5,2,P
352,Lorentz Force Law,5,2,P
353,Electrical Network,5,2,P
354,Alternating Current,5,2,P
355,Electromotive Force,5,2,P
356,Resistance,5,2,P
357,Magnetic Field,6,2,P
358,Magnetic Monopoles,6,2,P
359,Electric Current,6,2,P
360,Solenoid,6,2,P
361,Magnetic Moment,6,2,P
362,Electric Dipole,6,2,P
363,Magnetic Monopole,6,2,P
364,Electric Charge,6,2,P
365,Magnetization,6,2,P
366,Motion,7,2,P
367,Scalar Potential,7,2,P
368,Gravitational Potential,7,2,P
369,Electric Potential,7,2,P
370,Thermodynamics,7,2,P
371,Potential Difference,7,2,P
372,Potential Energy,7,2,P
373,Thermal Radiation,8,2,P
374,Work,8,2,P
375,Boltzmann Constant,8,2,P
376,Thermodynamics,8,2,P
377,Energy,8,2,P
378,Absolute Temperature,8,2,P
379,Latent Heat,8,2,P
380,Potential Energy,8,2,P
381,Mass,8,2,P
382,Power,8,2,P
383,Laws Of Thermodynamics,8,2,P
384,Heat Capacity,8,2,P
385,Latent Heat,8,2,P
386,Electricity,8,2,P
387,Acceleration,9,2,P
388,Angular Momentum,9,2,P
389,Force,9,2,P
390,Mass,9,2,P
391,Mechanical Power,9,2,P
392,Moment,9,2,P
393,Torque,9,2,P
394,Velocity,9,2,P
395,Damping,9,2,P
396,Displacement,9,2,P
397,Angular Acceleration,9,2,P
398,Displacement,9,2,P
399,Frequency,9,2,P
400,Wave,10,2,P
401,Absolute Value,10,2,P
402,Phase Velocity,10,2,P
403,Group Velocity,10,2,P
404,Signal Velocity,10,2,P
405,Front Velocity,10,2,P
406,Electrostatics,11,2,P
407,Coulomb's Law,11,2,P
408,Electric Dipole Moment,11,2,P
409,Displacement Current,11,2,P
410,Magnetic Vector Potential,11,2,P
411,Maxwell's Equations,11,2,P
412,Electromagnetic Field,11,2,P
413,Electromagnetic Radiation,11,2,P
414,Eddy Current,11,2,P
415,Alternating Current,11,2,P
416,Capacitance,11,2,P
417,Direct Current,11,2,P
418,Electric Current,11,2,P
419,Impedance,11,2,P
420,Inductance,11,2,P
421,Resistance,11,2,P
422,Electromagnetic Tensor,11,2,P
423,Space,12,2,P
424,Time,12,2,P
425,Energy,12,2,P
426,Matter,12,2,P
427,Work,12,2,P
428,Entropy,12,2,P
429,Particle,12,2,P
430,Wave,12,2,P
431,Quantum Mechanics,12,2,P
432,Quantum Field Theory,12,2,P
433,Electromagnetism,12,2,P
434,General Relativity,12,2,P
435,Astrophysics,12,2,P
436,Cosmology,12,2,P
437,Elementary Particle,13,2,P
438,Gravity,13,2,P
439,Electromagnetic,13,2,P
440,Positron,13,2,P
441,Mass,13,2,P
442,Electric Charge,13,2,P
443,Magnetic Moment,13,2,P
444,Quantum Mechanical,13,2,P
445,Antiparticle,13,2,P
446,Positron,13,2,P
447,Ion,13,2,P
448,Potential Energy,14,2,P
449,Kinetic Energy,14,2,P
450,Elastic Collisions,14,2,P
451,Thermal Energy,14,2,P
452,Dissipation,14,2,P
453,Work,14,2,P
454,Friction,14,2,P
455,Gravitational Force,14,2,P
456,Heat Energy,14,2,P
457,Electromagnetism,14,2,P
458,Mass,14,2,P
459,Power,14,2,P
460,Heat Capacity,14,2,P
461,Entropy,14,2,P
462,Work,14,2,P
463,Electric Potential Energy,14,2,P
464,Ampere's Law,15,2,P
465,Magnetic Dipole Moment,15,2,P
466,Magnetization,15,2,P
467,Electrodynamics,15,2,P
468,Electromagnetic Radiation,15,2,P
469,Eddy Current,15,2,P
470,Electrical Network,15,2,P
471,Electric Current,15,2,P
472,Inductance,15,2,P
473,Ohm's Law,15,2,P
474,Resistance,15,2,P
475,Voltage,15,2,P
476,Quantum Mechanics,1,3,P
477,Fermions,1,3,P
478,Conduction Band,1,3,P
479,Fermi Level,1,3,P
480,Electrochemical Potential,1,3,P
481,Kinetic Energy,1,3,P
482,Quantum State,1,3,P
483,Superconductors,1,3,P
484,Rest Mass,1,3,P
485,Planck Constant,1,3,P
486,Boltzmann Constant,1,3,P
487,Momentum,1,3,P
488,Ampere's Law,2,3,P
489,Electrodynamics,2,3,P
490,Faraday's Law,2,3,P
491,Lenz's Law,2,3,P
492,Displacement Current,2,3,P
493,Electrical Network,2,3,P
494,Alternating Current,2,3,P
495,Capacitance,2,3,P
496,Electric Current,2,3,P
497,Electric Potential,2,3,P
498,Electromotive Force,2,3,P
499,Resistance,2,3,P
500,Voltage,2,3,P
501,Classical Mechanics,3,3,P
502,Hamiltonian,3,3,P
503,Interference,3,3,P
504,Coherence,3,3,P
505,Uncertainty Principle,3,3,P
506,Ground State,3,3,P
507,Quantum,3,3,P
508,Superposition,3,3,P
509,Vacuum State,3,3,P
510,Wave Propagation,3,3,P
511,Wave Function,3,3,P
512,Matter Wave,3,3,P
513,Photoelectric Effect,3,3,P
514,Phase-space,3,3,P
515,Electrostatics,4,3,P
516,Electric Charge,4,3,P
517,Electric Dipole Moment,4,3,P
518,Electric Field,4,3,P
519,Gauss's Law,4,3,P
520,Induction,4,3,P
521,Insulator,4,3,P
522,Polarization Density,4,3,P
523,Alternating Current,4,3,P
524,Capacitance,4,3,P
525,Acceleration,5,3,P
526,Angular Momentum,5,3,P
527,Force,5,3,P
528,Mechanical Power,5,3,P
529,Mechanical Work,5,3,P
530,Moment,5,3,P
531,Momentum,5,3,P
532,Torque,5,3,P
533,Velocity,5,3,P
534,Motion,5,3,P
535,Quantum Thermodynamics,6,3,P
536,Equilibrium,6,3,P
537,State Of Matter,6,3,P
538,Thermal Efficiency,6,3,P
539,Work,6,3,P
540,Heat,6,3,P
541,Temperature,6,3,P
542,Entropy,6,3,P
543,Pressure,6,3,P
544,Volume,6,3,P
545,Electrostatic Potential Energy,7,3,P
546,Maxwell's Equations,7,3,P
547,Torque,7,3,P
548,Magnetic Dipole Moment,7,3,P
549,Inductance,7,3,P
550,Permeability,7,3,P
551,Energy,7,3,P
552,Mass,7,3,P
553,Power,7,3,P
554,Thermodynamics,7,3,P
555,Entropy,7,3,P
556,Work,7,3,P
557,Enthalpy,7,3,P
558,Electric Potential Energy,7,3,P
559,Heat,7,3,P
560,Electricity,7,3,P
561,Acceleration,8,3,P
562,Energy,8,3,P
563,Force,8,3,P
564,Impulse,8,3,P
565,Inertia,8,3,P
566,Mass,8,3,P
567,Momentum,8,3,P
568,Torque,8,3,P
569,Velocity,8,3,P
570,Displacement,8,3,P
571,Friction,8,3,P
572,Flux,9,3,P
573,Gravitational Field,9,3,P
574,Gauss's Law,9,3,P
575,Gauss's Law For Magnetism,9,3,P
576,Gauss's Law For Gravity,9,3,P
577,Gravitational Mass,9,3,P
578,Electric Charge,9,3,P
579,Electric Field,9,3,P
580,Charge Density,9,3,P
581,Divergence Theorem,9,3,P
582,Coulomb's Law,9,3,P
583,Energy,10,3,P
584,Pressure,10,3,P
585,Enthalpy,10,3,P
586,Pressure Gradient,10,3,P
587,Work,10,3,P
588,Exergy,10,3,P
589,Gibbs Free Energy,10,3,P
590,Heat,10,3,P
591,Heat Of Combustion,10,3,P
592,Kinetic Energy,10,3,P
593,Nuclear Fission,10,3,P
594,Fusion,10,3,P
595,Electric Charge,11,3,P
596,Surface Charge Density,11,3,P
597,Electric Potential,11,3,P
598,Electric Field,11,3,P
599,Point Charge,11,3,P
600,Electrical Conductivity,11,3,P
601,Dielectric,11,3,P
602,Polarization Density,11,3,P
603,Adsorption,11,3,P
604,Dissociation,11,3,P
605,Acceleration,12,3,P
606,Angular Momentum,12,3,P
607,Couple,12,3,P
608,D'alembert's Principle,12,3,P
609,Energy,12,3,P
610,Impulse,12,3,P
611,Inertia,12,3,P
612,Mass,12,3,P
613,Moment,12,3,P
614,Momentum,12,3,P
615,Speed,12,3,P
616,Time,12,3,P
617,Torque,12,3,P
618,Velocity,12,3,P
619,Damping,12,3,P
620,Displacement,12,3,P
621,Magnetostatics,13,3,P
622,Ampere's Law,13,3,P
623,Biot-savart Law,13,3,P
624,Gauss's Law For Magnetism,13,3,P
625,Magnetic Field,13,3,P
626,Magnetic Flux,13,3,P
627,Magnetic Dipole Moment,13,3,P
628,Magnetic Scalar Potential,13,3,P
629,Magnetization,13,3,P
630,Magnetomotive Force,13,3,P
631,Electrodynamics,13,3,P
632,Lorentz Force Law,13,3,P
633,Electromagnetic Induction,13,3,P
634,Faraday's Law,13,3,P
635,Acoustic Wave,14,3,P
636,Transmission Medium,14,3,P
637,Oscillation,14,3,P
638,Frequency,14,3,P
639,Longitudinal Waves,14,3,P
640,Transverse Wave,14,3,P
641,Velocity,14,3,P
642,Density,14,3,P
643,Vacuum,14,3,P
644,Compression,14,3,P
645,Energy,15,3,P
646,Impulse,15,3,P
647,Inertia,15,3,P
648,Moment Of Inertia,15,3,P
649,Mass,15,3,P
650,Mechanical Power,15,3,P
651,Moment,15,3,P
652,Momentum,15,3,P
653,Speed,15,3,P
654,Time,15,3,P
655,Torque,15,3,P
656,Velocity,15,3,P
657,Displacement,15,3,P
658,Frequency,15,3,P
659,Work,1,4,P
660,Energy,1,4,P
661,Electric Potential,1,4,P
662,Mass,1,4,P
663,Charge,1,4,P
664,Newtonian Potential,1,4,P
665,Potential Theory,1,4,P
666,Gravitational Potential Energy,1,4,P
667,Potential Energy,1,4,P
668,Gravitational Acceleration,1,4,P
669,Gravitational Constant,1,4,P
670,Gradient,1,4,P
671,Acceleration,2,4,P
672,Angular Momentum,2,4,P
673,Couple,2,4,P
674,Energy,2,4,P
675,Inertia,2,4,P
676,Moment Of Inertia,2,4,P
677,Mass,2,4,P
678,Momentum,2,4,P
679,Time,2,4,P
680,Torque,2,4,P
681,Velocity,2,4,P
682,Electromagnetism,3,4,P
683,Probability Current,3,4,P
684,Electric Current,3,4,P
685,Charge Density,3,4,P
686,Flux,3,4,P
687,Area,3,4,P
688,Electrical Conductor,3,4,P
689,Moore's Law,3,4,P
690,Resistance,3,4,P
691,Power,3,4,P
692,Superconductors,3,4,P
693,Ampere's Circuital Law,3,4,P
694,Maxwell's Equations,3,4,P
695,Magnetic Field,3,4,P
696,Charge,3,4,P
697,Drift Velocity,3,4,P
698,Electric Field,3,4,P
699,Electrical Conductivity,3,4,P
700,Damping,4,4,P
701,Displacement,4,4,P
702,Friction,4,4,P
703,Motion,4,4,P
704,Relative Velocity,4,4,P
705,Angular Acceleration,4,4,P
706,Displacement,4,4,P
707,Frequency,4,4,P
708,Velocity,4,4,P
709,Isotopes,5,4,P
710,Isobars,5,4,P
711,Isotones,5,4,P
712,Isomers,5,4,P
713,Binding Energy,5,4,P
714,Spontaneous Fission,5,4,P
715,Decay Energy,5,4,P
716,Nuclear Fission,5,4,P
717,Mass,6,4,P
718,Momentum,6,4,P
719,Energy,6,4,P
720,Fluid Mechanics,6,4,P
721,Archimedes' Principle,6,4,P
722,Bernoulli's Principle,6,4,P
723,Pascal's Law,6,4,P
724,Viscosity,6,4,P
725,Newtonian,6,4,P
726,Buoyancy,6,4,P
727,Pressure,6,4,P
728,Surface Tension,6,4,P
729,Viscoelasticity,6,4,P
730,Deformation,6,4,P
731,Elasticity,6,4,P
732,Linear,6,4,P
733,Plasticity,6,4,P
734,Stress,6,4,P
735,Electric Charge,7,4,P
736,Ion,7,4,P
737,Neutrons,7,4,P
738,Photons,7,4,P
739,Neutrinos,7,4,P
740,Neutral Pions,7,4,P
741,Acceleration,8,4,P
742,Angular Momentum,8,4,P
743,Energy,8,4,P
744,Moment Of Inertia,8,4,P
745,Mass,8,4,P
746,Momentum,8,4,P
747,Speed,8,4,P
748,Time,8,4,P
749,Velocity,8,4,P
750,Damping,8,4,P
751,Displacement,8,4,P
752,Newton's Laws Of Motion,9,4,P
753,Damping,9,4,P
754,Displacement,9,4,P
755,Euler's Laws Of Motion,9,4,P
756,Fictitious Force,9,4,P
757,Friction,9,4,P
758,Motion,9,4,P
759,Centripetal Force,9,4,P
760,Centrifugal Force,9,4,P
761,Angular Acceleration,9,4,P
762,Displacement,9,4,P
763,Frequency,9,4,P
764,Velocity,9,4,P
765,Interference,10,4,P
766,Quantum Zeno Effect,10,4,P
767,Quantum Tunnelling,10,4,P
768,Photoelectric Effect,10,4,P
769,Heisenberg,10,4,P
770,Phase-space,10,4,P
771,Stochastic,10,4,P
772,Fractional Quantum Mechanics,10,4,P
773,Quantum Gravity,10,4,P
774,Quantum Mechanics,10,4,P
775,Physics,11,4,P
776,Linear Time-invariant,11,4,P
777,Step Response,11,4,P
778,Impulse Response,11,4,P
779,Fourier Transform,11,4,P
780,Bandwidth,11,4,P
781,Decay Constant,11,4,P
782,Exponential Decay,11,4,P
783,Heaviside Step Function,11,4,P
784,Impulse Function,11,4,P
785,Impulse,11,4,P
786,Euler's Formula,11,4,P
787,Resistance,11,4,P
788,Inductance,11,4,P
789,Electric Dipole Moment,12,4,P
790,Transition Dipole Moment,12,4,P
791,Molecular Dipole Moment,12,4,P
792,Bond Dipole Moment,12,4,P
793,Electron Electric Dipole Moment,12,4,P
794,Magnetic Dipole Moment,12,4,P
795,Electron Magnetic Moment,12,4,P
796,Nuclear Magnetic Moment,12,4,P
797,Topological Defect,12,4,P
798,Multipole Expansion,12,4,P
799,Dielectric Constant,12,4,P
800,Dipole (disambiguation),12,4,P
801,Moment (disambiguation),12,4,P
802,Quantum Thermodynamics,13,4,P
803,Equilibrium,13,4,P
804,Isobaric,13,4,P
805,Isochoric,13,4,P
806,Isothermal,13,4,P
807,Adiabatic,13,4,P
808,Quasistatic,13,4,P
809,Polytropic,13,4,P
810,Free Expansion,13,4,P
811,Heat Engines,13,4,P
812,Heat Pumps,13,4,P
813,Thermal Efficiency,13,4,P
814,Work,13,4,P
815,Heat,13,4,P
816,Entropy,13,4,P
817,Pressure,13,4,P
818,Volume,13,4,P
819,Energy,14,4,P
820,Momentum,14,4,P
821,Lorentz Transformations,14,4,P
822,Relativistic Mass,14,4,P
823,Speed Of Light,14,4,P
824,Velocity,14,4,P
825,Mass,14,4,P
826,Special Relativity,14,4,P
827,Missing Energy,14,4,P
828,Transverse Mass,14,4,P
829,Mathematics,15,4,P
830,Periodic Function,15,4,P
831,Amplitude,15,4,P
832,Waveform,15,4,P
833,Superposition Principle,15,4,P
834,Constructive Interference,15,4,P
835,Destructive Interference,15,4,P
836,Phase Velocity,15,4,P
837,Phasor,15,4,P
838,Polarization,15,4,P
839,Coherence,15,4,P
840,Damping,1,5,P
841,Displacement,1,5,P
842,Fictitious Force,1,5,P
843,Friction,1,5,P
844,Harmonic Oscillator,1,5,P
845,Motion,1,5,P
846,Relative Velocity,1,5,P
847,Rigid Body,1,5,P
848,Rotating Reference Frame,1,5,P
849,Angular Acceleration,1,5,P
850,Displacement,1,5,P
851,Frequency,1,5,P
852,Velocity,1,5,P
853,Sine Wave,2,5,P
854,Phase,2,5,P
855,Interference,2,5,P
856,Frequency,2,5,P
857,Sound Waves,2,5,P
858,Light,2,5,P
859,Pressure,2,5,P
860,Electromagnetic Radiation,2,5,P
861,Magnetic Field,2,5,P
862,Spectrum,2,5,P
863,Phase Velocity,2,5,P
864,Dispersive Medium,2,5,P
865,Angular Frequency,2,5,P
866,Wave Function,3,5,P
867,Pulse,3,5,P
868,Waves,3,5,P
869,Mechanical Waves,3,5,P
870,Electromagnetics,3,5,P
871,Pressure,3,5,P
872,Displacement,3,5,P
873,Superposition Principle,3,5,P
874,Tension,3,5,P
875,Hooke's Law,3,5,P
876,Fourier Transform,3,5,P
877,Huygens' Principle,3,5,P
878,Isobaric,4,5,P
879,Isochoric,4,5,P
880,Isothermal,4,5,P
881,Adiabatic,4,5,P
882,Quasistatic,4,5,P
883,Polytropic,4,5,P
884,Free Expansion,4,5,P
885,Reversibility,4,5,P
886,Work,4,5,P
887,Heat,4,5,P
888,Electrostatics,5,5,P
889,Coulomb's Law,5,5,P
890,Electric Charge,5,5,P
891,Electric Dipole Moment,5,5,P
892,Electric Flux,5,5,P
893,Potential Energy,5,5,P
894,Electrostatic Discharge,5,5,P
895,Magnetic Flux,5,5,P
896,Magnetic Scalar Potential,5,5,P
897,Magnetization,5,5,P
898,Magnetomotive Force,5,5,P
899,Electrical Network,5,5,P
900,Alternating Current,5,5,P
901,Interference,6,5,P
902,Coherence,6,5,P
903,Uncertainty Principle,6,5,P
904,Vacuum State,6,5,P
905,Wave Propagation,6,5,P
906,Equilibrium,7,5,P
907,Fermi Level,7,5,P
908,Insulators,7,5,P
909,Semiconductors,7,5,P
910,Valence Band,7,5,P
911,Electrical Conductivity,7,5,P
912,Electrical Conduction,7,5,P
913,Semiconductor,7,5,P
914,Charge Carriers,7,5,P
915,Electric Field,7,5,P
916,Electrical Conduction,7,5,P
917,Mass,8,5,P
918,Volume,8,5,P
919,Weight,8,5,P
920,Buoyancy,8,5,P
921,Thermodynamics,8,5,P
922,Displacement,8,5,P
923,Pressure,8,5,P
924,Temperature,8,5,P
925,Compressibility,8,5,P
926,Thermal Expansivity,8,5,P
927,Molar Mass,8,5,P
928,Electrostatics,9,5,P
929,Conductor,9,5,P
930,Coulomb's Law,9,5,P
931,Electric Charge,9,5,P
932,Electric Dipole Moment,9,5,P
933,Electric Field,9,5,P
934,Electric Flux,9,5,P
935,Potential Energy,9,5,P
936,Electrostatic Discharge,9,5,P
937,Gauss's Law,9,5,P
938,Induction,9,5,P
939,Insulator,9,5,P
940,Wave,10,5,P
941,Frequency,10,5,P
942,Wave Vector,10,5,P
943,X-ray Diffraction,10,5,P
944,Quantum Mechanical,10,5,P
945,Planck's Constant,10,5,P
946,Canonical Momentum,10,5,P
947,Speed Of Light,10,5,P
948,Wavelengths,10,5,P
949,Permittivity,10,5,P
950,Permeability,10,5,P
951,Refraction Index,10,5,P
952,Angular Frequency,10,5,P
953,Phase Velocity,10,5,P
954,Momentum,10,5,P
955,Mass,10,5,P
956,Energy,11,5,P
957,Photon,11,5,P
958,Electromagnetic,11,5,P
959,Frequency,11,5,P
960,Wavelength,11,5,P
961,Electromagnetic Spectrum,11,5,P
962,Planck Constant,11,5,P
963,Acceleration,12,5,P
964,Angular Momentum,12,5,P
965,Force,12,5,P
966,Moment Of Inertia,12,5,P
967,Mass,12,5,P
968,Mechanical Power,12,5,P
969,Moment,12,5,P
970,Momentum,12,5,P
971,Time,12,5,P
972,Velocity,12,5,P
973,Displacement,12,5,P
974,Friction,12,5,P
975,Motion,12,5,P
976,Magnetostatics,13,5,P
977,Ampere's  Law,13,5,P
978,Magnetic Field,13,5,P
979,Magnetic Flux,13,5,P
980,Magnetic Dipole Moment,13,5,P
981,Magnetization,13,5,P
982,Magnetomotive Force,13,5,P
983,Electrodynamics,13,5,P
984,Displacement Current,13,5,P
985,Magnetic Vector Potential,13,5,P
986,Electromagnetic Field,13,5,P
987,Alternating Current,13,5,P
988,Capacitance,13,5,P
989,Electric Current,13,5,P
990,Electric Potential,13,5,P
991,Electromotive Force,13,5,P
992,Mass,14,5,P
993,Electron,14,5,P
994,Invariant Mass,14,5,P
995,Daltons,14,5,P
996,Energy,14,5,P
997,Special Relativity,14,5,P
998,Lorentz Factor,14,5,P
999,Planck Constant,14,5,P
1000,Avogadro Constant,14,5,P
1001,Atomic Mass Constant,14,5,P
1002,Molar Mass Constant,14,5,P
1003,Alpha Decay,15,5,P
1004,Composition,15,5,P
1005,Mass,15,5,P
1006,Speed Of Light,15,5,P
1007,Ionizing,15,5,P
1008,Isotopes,15,5,P
1009,Atom,15,5,P
1010,Mass Number,15,5,P
1011,Nuclear Shell Model,1,6,P
1012,Isotopes,1,6,P
1013,Isobars,1,6,P
1014,Isotones,1,6,P
1015,Isomers,1,6,P
1016,Drip Line,1,6,P
1017,Valley Of Stability,1,6,P
1018,Radioactive Decay,1,6,P
1019,Decay Energy,1,6,P
1020,Nuclear Fission,1,6,P
1021,Photofission,1,6,P
1022,Sound,2,6,P
1023,Radio Waves,2,6,P
1024,Light,2,6,P
1025,Wave,2,6,P
1026,Oscillations,2,6,P
1027,Waves,2,6,P
1028,Optics,2,6,P
1029,Planck's Formula,2,6,P
1030,Angular Displacement,2,6,P
1031,Phase,2,6,P
1032,Wave Propagation,2,6,P
1033,Wavelength,2,6,P
1034,Phase Velocity,2,6,P
1035,Acceleration,3,6,P
1036,Angular Momentum,3,6,P
1037,Force,3,6,P
1038,Impulse,3,6,P
1039,Inertia,3,6,P
1040,Moment Of Inertia,3,6,P
1041,Mass,3,6,P
1042,Momentum,3,6,P
1043,Space,3,6,P
1044,Speed,3,6,P
1045,Time,3,6,P
1046,Torque,3,6,P
1047,Velocity,3,6,P
