,index,Id
225,225,hydrogenation
226,226,hydrolysis
227,227,hygroscopy
228,228,ideal gas
229,229,ideal gas constant
230,230,ideal gas law
231,231,ideal solution
232,232,independent variable
233,233,indicator
234,234,induced radioactivity
235,235,inert
236,236,inorganic compound
237,237,inorganic chemistry
238,238,insulator
239,239,intensive property
240,240,intermolecular force
241,241,International System of Units (SI)
242,242,International Union of Pure and Applied Chemistry (IUPAC)
243,243,intramolecular force
244,244,intrinsic property
245,245,ion
246,246,ionic bond
247,247,ionization
248,248,isoelectronicity
249,249,isomerization
250,250,isomers
251,251,isotope
252,252,joule (J)
253,253,kelvin (K)
254,254,ketone
255,255,kinetics
256,256,kinetic energy
257,257,lability
258,258,lanthanides
259,259,lattice
260,260,lattice energy
261,261,law of conservation of energy
262,262,law of conservation of mass
263,263,law of multiple proportions
264,264,laws of thermodynamics
265,265,leveling effect
266,266,Lewis acid
267,267,Lewis base
268,268,Lewis structure
269,269,ligand
270,270,light
271,271,liquefaction
272,272,liquid
273,273,locant
274,274,London dispersion forces
275,275,magnetic quantum number
276,276,malleability
277,277,manometer
278,278,mass
279,279,mass concentration
280,280,mass fraction
281,281,mass number (A)
282,282,mass spectrometry (MS)
283,283,matter
284,284,metal
285,285,melting
286,286,melting point
287,287,metalloid
288,288,methylene blue
289,289,microcentrifuge tube
290,290,mineral
291,291,miscibility
292,292,mixture
293,293,moiety
294,294,molality
295,295,molar attenuation coefficient
296,296,molar concentration
297,297,molar fraction
298,298,molar mass
299,299,mole (mol)
300,300,molecular formula
301,301,molecular orbital (MO)
302,302,molecular orbital diagram
303,303,molecule
304,304,monatomic
305,305,natural abundance
306,306,neat
307,307,neutron
308,308,nitrogen
309,309,nucleon
310,310,nucleophile
311,311,nucleus
312,312,noble gas
313,313,non-metal
314,314,normality
315,315,nuclear
316,316,nuclear chemistry
317,317,nuclear magnetic resonance spectroscopy
318,318,nuclear transmutation
319,319,nuclide
320,320,number density
321,321,octet rule
322,322,olefin
323,323,optical activity
324,324,orbital
325,325,orbital hybridisation
326,326,order of reaction
327,327,organic acid
328,328,organic base
329,329,organic compound
330,330,organic chemistry
331,331,organic redox reaction
332,332,osmotic pressure
333,333,other metal
334,334,oxidation
335,335,oxidation state
336,336,oxidizing agent
337,337,oxoacid
338,338,oxygen
339,339,p-block
340,340,paraffin
341,341,partial pressure
342,342,pascal (Pa)
343,343,passivation
344,344,pH
345,345,phase
346,346,phase transition
347,347,phi bond
348,348,physical chemistry
349,349,pi bond
350,350,pipette
351,351,plasma
352,352,period
353,353,periodic table of the elements
354,354,polarity
355,355,potential energy
356,356,precipitate
357,357,precision
358,358,pressure
359,359,photon
360,360,polyatomic
361,361,polyatomic ion
362,362,protective group
363,363,proton
364,364,protonation
365,365,pure substance
366,366,pyrolysis
367,367,quantum mechanics
368,368,quark
369,369,quantum
370,370,racemate
371,371,radiation
372,372,radical
373,373,radioactive decay
374,374,Raoult's law
375,375,rare-earth metal
376,376,rate equation
377,377,reactant
378,378,reaction mechanism
379,379,reaction rate
380,380,reaction rate constant
381,381,reactive intermediate
382,382,reactivity
383,383,reactivity series
384,384,reagent
385,385,redox
386,386,reducing agent
387,387,reduction potential
388,388,resonance
389,389,retort
390,390,round-bottom flask
391,391,rust
392,392,s-block
393,393,salt
394,394,salt bridge
395,395,saline solution
396,396,Schrödinger equation
397,397,second-order reaction
398,398,semiconductor
399,399,serial dilution
400,400,side chain
401,401,single bond
402,402,skeletal formula
403,403,sol
404,404,solid
405,405,solubility
406,406,solute
407,407,solution
408,408,solvated electron
409,409,solvation
410,410,solvation shell
411,411,solvent
412,412,spectrochemistry
413,413,spectrometry
414,414,spectroscopy
415,415,standard solution
416,416,standard conditions of temperature and pressure (STP)
417,417,state of matter
418,418,stepwise reaction
419,419,stereochemistry
420,420,stereoisomer
421,421,stoichiometry
422,422,strong acid
423,423,strong base
424,424,structural formula
425,425,structural isomer
426,426,subatomic particle
427,427,sublimation
428,428,substance
429,429,substituent
430,430,suspension
431,431,tarnish
432,432,temperature
433,433,theoretical yield
434,434,thermal conductivity
435,435,thermochemistry
436,436,thermodynamics
437,437,thermodynamic stability
438,438,thermometer
439,439,titration
440,440,torr
441,441,transition metal
442,442,transuranic element
443,443,triple bond
444,444,triple point
445,445,Tyndall effect
446,446,UN number
447,447,uncertainty
448,448,uncertainty principle
449,449,unified atomic mass unit (u)
450,450,unit cell
451,451,unit factor
452,452,unpaired electron
453,453,vacuum flask
454,454,valence electron
455,455,valence bond theory
456,456,valency
457,457,van der Waals force
458,458,van 't Hoff factor
459,459,vapor
460,460,vapor pressure
461,461,vaporization
462,462,viscosity
463,463,volatility
464,464,volt (V)
465,465,voltmeter
466,466,volume
467,467,volumetric analysis
468,468,volumetric flask
469,469,watch glass
470,470,water
471,471,wave function
472,472,weak acid
473,473,weak base
474,474,wet chemistry
475,475,work
476,476,work-up
477,477,X-ray
478,478,X-ray diffraction
479,479,X-ray photoelectron spectroscopy
480,480,yield
481,481,zone melting
482,482,zwitterion
483,483,zinc
