label,TFIDF
radioactive dna,0.002132974
photolibrary,0.002137491
concentration,0.00214066
plant material,0.002141296
nucleus,0.002142914
tissue functions,0.00214604
pair,0.002154881
chemical nutrients,0.002159773
scene dna,0.002166303
dna polymerases,0.002170407
show,0.002170419
cellular work,0.002178746
cell grows,0.002179576
food chain,0.002181593
dna produced,0.002181739
growth hormone,0.002182683
data,0.002183799
gene transfer,0.00218473
walls,0.002186893
cam plants,0.002198443
lungs,0.0022003
rna genes,0.002200959
yeast cells,0.002202518
rna nucleotides,0.002205319
genetic control,0.002207066
ﬁgure,0.002209152
top,0.002209508
primary structure,0.002211998
plasma cells,0.002219045
rnas,0.002220351
live,0.002224104
world photos,0.002224495
small rna,0.002228053
small rnas,0.002228053
conservation biology,0.002234163
amount,0.002236516
set,0.002236781
small intestine,0.002238244
essential,0.002241079
life tables,0.002249047
cells release,0.00225636
cell found,0.002257135
dna experiments,0.00225987
receptor,0.002263187
compounds,0.002263327
gene therapy,0.002267304
blood plasma,0.002271431
endangered species,0.002274347
produces dna,0.002277997
blood protein,0.002281506
dna studies,0.002283738
regions,0.002287018
south america,0.002288519
gametes,0.002291678
neuron,0.002294164
site,0.002297085
internal,0.002301318
similar,0.002304389
sequences,0.002304827
dna released,0.002307682
mammalian cells,0.002311314
atom,0.002313466
viruses,0.002317428
antigen-presenting cell,0.002317859
protists,0.002321848
develop,0.002323861
neurons,0.002327655
million species,0.002334511
hydrogen bonds,0.002338678
xylem cells,0.002338701
unit,0.002340222
called atp,0.002347772
sex,0.002349656
environmental,0.00236063
cell organelles,0.002367651
biological species,0.00236781
cellular structures,0.002367818
small animals,0.002369227
fruit,0.002371113
cell size,0.002376761
image,0.00238304
enzyme called,0.002385149
secondary,0.002386371
normal gene,0.002388872
insects,0.002389556
adapted,0.002394653
population structure,0.002395052
dead cells,0.002395765
evolved,0.002396605
scientiﬁc,0.00239746
grow,0.002401662
plant biologists,0.002404908
cell products,0.002414822
digestive tract,0.002415132
county college,0.002421085
generation,0.002426103
ions,0.002430839
membrane structure,0.00243107
red cell,0.002431711
dna carrying,0.002432924
discovery modules,0.002433346
mitosis,0.002436107
vertebrate evolution,0.002436771
ribosomal rna,0.002438281
single species,0.00245133
ecosystem,0.002453529
con,0.002453986
base,0.002461152
control center,0.002466493
adjacent cells,0.002471656
cell shown,0.002472974
small dna,0.002475004
make proteins,0.002477364
original dna,0.002482791
diverse,0.002486832
sexual,0.002497718
human eye,0.002498986
system produces,0.002510109
gene pools,0.002511943
pairs,0.002514028
cell production,0.002519948
products,0.002532865
gland cells,0.002534283
researchers found,0.0025381
dna mol,0.002543439
traits,0.002544021
consists,0.002549743
dna tem,0.002551929
system consists,0.002559177
stage,0.002559583
mass,0.00256013
cells lack,0.002560626
embryonic stem,0.002578931
blue dna,0.002582653
eyes,0.002584884
dna methylation,0.002588727
hypothesis,0.00259506
sites,0.002597473
females,0.002598775
chapters,0.002606464
endocrine,0.002607267
great,0.002609694
plants produce,0.002609816
human proteins,0.002610429
kinds,0.002610939
provides,0.002612652
drugs,0.002613503
speciﬁc genes,0.00261891
nadh molecules,0.002625317
algae,0.002630874
tem,0.00263515
modern dna,0.002636434
active,0.002636988
fertilization,0.002654233
somatic cell,0.002658352
human growth,0.002659271
multiple,0.002662153
fat,0.00267609
junior college,0.002677037
food supply,0.002679427
human disorders,0.002685962
variety,0.00268847
messenger rna,0.002694315
human sperm,0.002700293
molecules function,0.002705294
regulation,0.002705663
cell molecules,0.00270887
cell mass,0.002709279
haploid,0.00271194
conditions,0.002718064
knowledge,0.002718272
homologous dna,0.002718826
animal form,0.002719076
cells grow,0.00272447
responses,0.002725688
primary growth,0.002733966
human diseases,0.002734533
shoot system,0.002735744
day,0.002743351
ago,0.00274885
individual dna,0.002752569
shutterstock,0.002759558
body plan,0.002765861
review answers,0.002774907
major types,0.002776735
human respiratory,0.002777548
pea plants,0.002779115
ﬁsh,0.002789921
muscle ﬁbers,0.002795188
nadph,0.002800338
make genes,0.002803546
human cardiovascular,0.002806584
bottom,0.002810063
release,0.002810989
energy stored,0.002814178
present,0.002814378
mrna,0.002815967
dna codon,0.002823126
birth,0.00282623
parent,0.002826363
damaged cells,0.002829999
affect,0.002830463
fat cells,0.002831587
white,0.002834924
blue,0.00284213
green,0.002847689
similar cells,0.00285469
cornell university,0.002857342
affect cell,0.002860023
blood types,0.002863282
white cells,0.002864583
tissue called,0.002867963
plant proteins,0.002869143
usual dna,0.002873795
eye,0.002883961
homologous,0.002892128
cardiovascular disease,0.002892477
color,0.002897877
adult,0.002901214
region,0.002902015
human female,0.002904126
ecology,0.00290893
acid molecule,0.002912332
amplify dna,0.002916119
making dna,0.002922635
nervous tissue,0.002923386
short dna,0.002927169
america,0.002927979
corbis,0.002928143
ing cell,0.002930863
mechanisms,0.002932146
peter arnold,0.002933324
neuron cell,0.002934974
case,0.002941938
role,0.002942801
elements,0.002946801
homo,0.002949275
greek,0.002951268
sugars,0.002952265
genetic code,0.00295229
marine,0.002955938
eukaryotic gene,0.002957391
transport system,0.002961082
nadh,0.002964389
increases,0.002994053
cases,0.002994473
nitrogen,0.002996845
cell populations,0.002997715
head,0.003000974
limbic system,0.003002391
big,0.003006672
virus,0.003021494
ocean,0.003024158
tube,0.003024655
carbon cycle,0.003026343
vascular,0.003031633
animal movement,0.003038044
england college,0.003039605
body wall,0.003045352
transport water,0.00304639
key,0.003048146
technology,0.00305111
individual cells,0.003051929
ability,0.003055083
back,0.003058589
south,0.003059366
reproductive success,0.003063461
blood group,0.003063715
acid sequence,0.003071115
bones,0.003072422
large numbers,0.003072813
enzyme genes,0.003073974
membrane potential,0.003076358
inhibits cell,0.00307679
ancestral species,0.003076836
tissue layers,0.003078007
getty,0.003078589
science photo,0.003080308
global,0.003098347
sources,0.00310398
glands,0.003107233
learning,0.003111043
makes evolution,0.003119601
stages,0.003120895
darwin called,0.003127553
common figure,0.003129931
biologists,0.003136675
control group,0.003136816
heart rate,0.003148116
sensory receptors,0.003148503
marrow cells,0.003149299
ground tissue,0.003154219
neanderthal dna,0.003167102
nutrition,0.003168636
rna virus,0.003169012
rates,0.003170635
organic material,0.003173416
layers,0.003182352
behaviors,0.003182577
beta cells,0.003183402
activities,0.003184031
plants make,0.003186009
biological community,0.003196798
short,0.003197154
terrestrial,0.003201141
plant groups,0.003203388
vitamin,0.003203975
indiana university,0.003211388
making,0.003214095
review,0.003224449
notice,0.003229153
food processing,0.003239261
body organs,0.003241065
picture library,0.003242756
carbon dioxide,0.003243418
experiments,0.003243957
surfaces,0.003256068
climate,0.003264586
differentiated cells,0.003267331
cells stimulate,0.003269493
vertebrate animals,0.003270181
cells remain,0.003276112
body fat,0.003281016
atp produced,0.00328374
cell genetic,0.003305462
phagocytic cells,0.003313011
body plans,0.003319033
